summary,address,dtstart,dtend,lat,long
It’s Your Estate/Money Seminars, Downtown Reno Library,2011-11-01 11:00:00,2011-11-01 12:00:00,39.5223803,-119.8102013
HUD Properties for First-Time Homebuyers, North Valleys Library,2011-11-01 05:00:00,2011-11-01 06:00:00,39.605111,-119.840187
Preschool Storytime, South Valleys Library,2011-11-02 11:00:00,2011-11-02 12:00:00,39.404466,-119.759088
Family Storytime, North Valleys Library,2011-11-02 11:00:00,2011-11-02 12:00:00,39.605111,-119.840187
Lifescapes, Northwest Reno Library,2011-11-02 01:00:00,2011-11-02 02:00:00,39.53816315,-119.8851085
It’s Your Estate/Money Seminars, North Valleys Library,2011-11-02 02:00:00,2011-11-02 03:00:00,39.605111,-119.840187
Crochet Connection, Spanish Springs Library,2011-11-03 04:00:00,2011-11-03 05:00:00,39.62117699,-119.7249484
Wee Read Storytime, Spanish Springs Library,2011-11-03 10:00:00,2011-11-03 11:00:00,39.62117699,-119.7249484
Preschool Storytime, Northwest Reno Library,2011-11-03 11:00:00,2011-11-03 12:00:00,39.53816315,-119.8851085
Preschool Storytime, Northwest Reno Library,2011-11-03 10:00:00,2011-11-03 11:00:00,39.53816315,-119.8851085
Toddler Time, South Valleys Library,2011-11-03 10:00:00,2011-11-03 11:00:00,39.404466,-119.759088
It’s Your Estate/Money Seminars, Sparks Library,2011-11-03 11:00:00,2011-11-03 12:00:00,39.544131,-119.758756
It’s Your Estate/Money Seminars, Northwest Reno Library,2011-11-03 02:00:00,2011-11-03 03:00:00,39.53816315,-119.8851085
Truckee Meadows Fire Open House, Washoe County Commission Chambers,2011-11-03 05:00:00,2011-11-03 06:00:00,39.5394208,-119.8009622
Bridge Group, South Valleys Library,2011-11-04 01:00:00,2011-11-04 02:00:00,39.404466,-119.759088
Toddler Time, Northwest Reno Library,2011-11-04 11:00:00,2011-11-04 12:00:00,39.53816315,-119.8851085
Toddler Time, Northwest Reno Library,2011-11-04 10:00:00,2011-11-04 11:00:00,39.53816315,-119.8851085
Toddler Time, South Valleys Library,2011-11-04 10:00:00,2011-11-04 11:00:00,39.404466,-119.759088
Regeneration: An exhibit of art that breathes new life – into life ," Wilbur D. May Museum, Rancho San Rafael Regional Park, 1595 N. Sierra Stree",2011-11-04 10:00:00,2011-11-04 11:00:00,39.54597344,-119.8251343
Bilingual Storytime, Sparks Library,2011-11-05 01:00:00,2011-11-05 02:00:00,39.544131,-119.758756
Four Seasons Book Club, Sparks Library,2011-11-05 01:00:00,2011-11-05 02:00:00,39.544131,-119.758756
Storytime, Verdi Library,2011-11-05 10:00:00,2011-11-05 11:00:00,39.52194818,-119.9901679
Regeneration: An exhibit of art that breathes new life – into life ," Wilbur D. May Museum, Rancho San Rafael Regional Park, 1595 N. Sierra Stree",2011-11-05 10:00:00,2011-11-05 11:00:00,39.54597344,-119.8251343
Clickets Knitting Group, Spanish Springs Library,2011-11-06 01:00:00,2011-11-06 02:00:00,39.62117699,-119.7249484
Beads and Books!, Spanish Springs Library,2011-11-06 01:00:00,2011-11-06 02:00:00,39.62117699,-119.7249484
Regeneration: An exhibit of art that breathes new life – into life ," Wilbur D. May Museum, Rancho San Rafael Regional Park, 1595 N. Sierra Stree",2011-11-06 01:00:00,2011-11-06 02:00:00,39.54597344,-119.8251343
Family Storytime, Spanish Springs Library,2011-11-07 10:00:00,2011-11-07 11:00:00,39.62117699,-119.7249484
Mystery Sleuths, North Valleys Library,2011-11-08 06:00:00,2011-11-08 07:00:00,39.605111,-119.840187
Spanish Springs Book Group: The Alchemist, Spanish Springs Library,2011-11-08 01:00:00,2011-11-08 02:00:00,39.62117699,-119.7249484
Preschool Storytime, South Valleys Library,2011-11-08 11:00:00,2011-11-08 12:00:00,39.404466,-119.759088
Knitting Club, South Valleys Library,2011-11-08 05:00:00,2011-11-08 06:00:00,39.404466,-119.759088
Board of County Commissioners Meetings, Washoe County Commission Chambers,2011-11-08 05:00:00,2011-11-08 06:00:00,39.5394208,-119.8009622
Family Storytime, Downtown Reno Library,2011-11-08 04:00:00,2011-11-08 05:00:00,39.5223803,-119.8102013
Lifescapes, Sparks Library,2011-11-08 02:00:00,2011-11-08 03:00:00,39.544131,-119.758756
It’s Your Estate/Money Seminars, South Valleys Library,2011-11-08 02:00:00,2011-11-08 03:00:00,39.404466,-119.759088
It’s Your Estate/Money Seminars, Downtown Reno Library,2011-11-08 11:00:00,2011-11-08 12:00:00,39.5223803,-119.8102013
Preschool Storytime, South Valleys Library,2011-11-09 11:00:00,2011-11-09 12:00:00,39.404466,-119.759088
Family Storytime, North Valleys Library,2011-11-09 11:00:00,2011-11-09 12:00:00,39.605111,-119.840187
It’s Your Estate/Money Seminars, North Valleys Library,2011-11-09 02:00:00,2011-11-09 03:00:00,39.605111,-119.840187
Wee Read Storytime, Spanish Springs Library,2011-11-10 10:00:00,2011-11-10 11:00:00,39.62117699,-119.7249484
Toddler Time, South Valleys Library,2011-11-10 10:00:00,2011-11-10 11:00:00,39.404466,-119.759088
Lifescapes, South Valleys Library,2011-11-10 10:00:00,2011-11-10 11:00:00,39.404466,-119.759088
It’s Your Estate/Money Seminars, Sparks Library,2011-11-10 11:00:00,2011-11-10 12:00:00,39.544131,-119.758756
It’s Your Estate/Money Seminars, Northwest Reno Library,2011-11-10 02:00:00,2011-11-10 03:00:00,39.53816315,-119.8851085
Toddler Time, Northwest Reno Library,2011-11-11 10:00:00,2011-11-11 11:00:00,39.53816315,-119.8851085
Toddler Time, Northwest Reno Library,2011-11-11 11:00:00,2011-11-11 12:00:00,39.53816315,-119.8851085
Paws 2 Read, South Valleys Library,2011-11-12 11:00:00,2011-11-12 12:00:00,39.404466,-119.759088
Paws 2 Read, North Valleys Library,2011-11-12 11:00:00,2011-11-12 12:00:00,39.605111,-119.840187
Knitting Club, Northwest Reno Library,2011-11-12 01:00:00,2011-11-12 02:00:00,39.53816315,-119.8851085
Princess Storytime, Sparks Library,2011-11-12 11:00:00,2011-11-12 12:00:00,39.544131,-119.758756
HUD Properties for First-Time Homebuyers, Sparks Library,2011-11-12 11:00:00,2011-11-12 12:00:00,39.544131,-119.758756
Paws 2 Read, Spanish Springs Library,2011-11-13 02:00:00,2011-11-13 03:00:00,39.62117699,-119.7249484
Let's Celebrate Native American Month!, Spanish Springs Library,2011-11-13 01:00:00,2011-11-13 02:00:00,39.62117699,-119.7249484
Family Storytime, Spanish Springs Library,2011-11-14 10:00:00,2011-11-14 11:00:00,39.62117699,-119.7249484
Knitting Club, South Valleys Library,2011-11-15 05:00:00,2011-11-15 06:00:00,39.404466,-119.759088
Movie Matinee: Cars 2, Spanish Springs Library,2011-11-15 04:00:00,2011-11-15 05:00:00,39.62117699,-119.7249484
Family Storytime, Downtown Reno Library,2011-11-15 04:00:00,2011-11-15 05:00:00,39.5223803,-119.8102013
Adult Book Club, Northwest Reno Library,2011-11-16 05:00:00,2011-11-16 06:00:00,39.53816315,-119.8851085
Family Storytime, North Valleys Library,2011-11-16 11:00:00,2011-11-16 12:00:00,39.605111,-119.840187
Crochet Connection, Spanish Springs Library,2011-11-17 04:00:00,2011-11-17 05:00:00,39.62117699,-119.7249484
Wee Read Storytime, Spanish Springs Library,2011-11-17 10:00:00,2011-11-17 11:00:00,39.62117699,-119.7249484
Toddler Time, South Valleys Library,2011-11-17 10:00:00,2011-11-17 11:00:00,39.404466,-119.759088
District Board of Health Meeting," Washoe County Health District, Auditorium B, 1001 E. 9th Street; Reno, Nevada",2011-11-17 01:00:00,2011-11-17 02:00:00,39.53943734,-119.8002326
Bridge Group, South Valleys Library,2011-11-18 01:00:00,2011-11-18 02:00:00,39.404466,-119.759088
Video Game Night, Sparks Library,2011-11-18 01:00:00,2011-11-18 02:00:00,39.544131,-119.758756
Verdi Mystery Book Club, Verdi Library,2011-11-19 01:00:00,2011-11-19 02:00:00,39.52194818,-119.9901679
Bilingual Storytime, Sparks Library,2011-11-19 01:00:00,2011-11-19 02:00:00,39.544131,-119.758756
Knitting Club, Northwest Reno Library,2011-11-19 01:00:00,2011-11-19 02:00:00,39.53816315,-119.8851085
Clickets Knitting Group, Spanish Springs Library,2011-11-20 01:00:00,2011-11-20 02:00:00,39.62117699,-119.7249484
Mystery Book Club: Flying Finish, Spanish Springs Library,2011-11-20 01:00:00,2011-11-20 02:00:00,39.62117699,-119.7249484
Family Storytime, Spanish Springs Library,2011-11-21 10:00:00,2011-11-21 11:00:00,39.62117699,-119.7249484
Knitting Club, South Valleys Library,2011-11-22 05:00:00,2011-11-22 06:00:00,39.404466,-119.759088
Board of County Commissioners Meetings, Washoe County Commission Chambers,2011-11-22 05:00:00,2011-11-22 06:00:00,39.5394208,-119.8009622
Family Storytime, Downtown Reno Library,2011-11-22 04:00:00,2011-11-22 05:00:00,39.5223803,-119.8102013
Lifescapes, Sparks Library,2011-11-22 02:00:00,2011-11-22 03:00:00,39.544131,-119.758756
Family Storytime, North Valleys Library,2011-11-23 11:00:00,2011-11-23 12:00:00,39.605111,-119.840187
Princess Storytime, Sparks Library,2011-11-26 11:00:00,2011-11-26 12:00:00,39.544131,-119.758756
Scrapbooking Sunday, Spanish Springs Library,2011-11-27 10:00:00,2011-11-27 11:00:00,39.62117699,-119.7249484
Family Storytime, Spanish Springs Library,2011-11-28 10:00:00,2011-11-28 11:00:00,39.62117699,-119.7249484
Family Storytime, Downtown Reno Library,2011-11-29 04:00:00,2011-11-29 05:00:00,39.5223803,-119.8102013
Medical Reserve Corps Volunteer Orientation," Washoe County Health District, Auditorium B, 1001 E. 9th Street; Reno, Nevada",2011-11-29 11:00:00,2011-11-29 12:00:00,39.53943734,-119.8002326
Family Storytime, North Valleys Library,2011-11-30 11:00:00,2011-11-30 12:00:00,39.605111,-119.840187
Wee Read Storytime, Spanish Springs Library,2011-12-01 10:00:00,2011-12-01 11:00:00,39.62117699,-119.7249484
Bridge Group, South Valleys Library,2011-12-02 01:00:00,2011-12-02 02:00:00,39.404466,-119.759088
Bilingual Storytime, Sparks Library,2011-12-03 01:00:00,2011-12-03 02:00:00,39.544131,-119.758756
Four Seasons Book Club, Sparks Library,2011-12-03 01:00:00,2011-12-03 02:00:00,39.544131,-119.758756
Clickets Knitting Group, Spanish Springs Library,2011-12-04 01:00:00,2011-12-04 02:00:00,39.62117699,-119.7249484
Beads and Books!, Spanish Springs Library,2011-12-04 01:00:00,2011-12-04 02:00:00,39.62117699,-119.7249484
Family Storytime, Spanish Springs Library,2011-12-05 10:00:00,2011-12-05 11:00:00,39.62117699,-119.7249484
Family Storytime, Downtown Reno Library,2011-12-06 04:00:00,2011-12-06 05:00:00,39.5223803,-119.8102013
Washoe County Planning Commission, Washoe County Commission Chambers,2011-12-06 06:00:00,2011-12-06 07:00:00,39.5394208,-119.8009622
HUD Properties for First-Time Homebuyers, North Valleys Library,2011-12-06 05:00:00,2011-12-06 06:00:00,39.605111,-119.840187
Crochet Connection, Spanish Springs Library,2011-12-08 04:00:00,2011-12-08 05:00:00,39.62117699,-119.7249484
Wee Read Storytime, Spanish Springs Library,2011-12-08 10:00:00,2011-12-08 11:00:00,39.62117699,-119.7249484
Bridge Group, South Valleys Library,2011-12-09 01:00:00,2011-12-09 02:00:00,39.404466,-119.759088
Paws 2 Read, South Valleys Library,2011-12-10 11:00:00,2011-12-10 12:00:00,39.404466,-119.759088
Paws 2 Read, North Valleys Library,2011-12-10 11:00:00,2011-12-10 12:00:00,39.605111,-119.840187
Princess Storytime, Sparks Library,2011-12-10 11:00:00,2011-12-10 12:00:00,39.544131,-119.758756
Paws 2 Read, Spanish Springs Library,2011-12-11 02:00:00,2011-12-11 03:00:00,39.62117699,-119.7249484
Christmas Crafts, Spanish Springs Library,2011-12-11 01:00:00,2011-12-11 02:00:00,39.62117699,-119.7249484
Family Storytime, Spanish Springs Library,2011-12-12 10:00:00,2011-12-12 11:00:00,39.62117699,-119.7249484
Board of County Commissioners Meetings, Washoe County Commission Chambers,2011-12-13 10:00:00,2011-12-13 11:00:00,39.5394208,-119.8009622
Family Storytime, Downtown Reno Library,2011-12-13 04:00:00,2011-12-13 05:00:00,39.5223803,-119.8102013
Lifescapes, Sparks Library,2011-12-13 02:00:00,2011-12-13 03:00:00,39.544131,-119.758756
Spanish Springs Book Group: Amy and Isabelle, Spanish Springs Library,2011-12-13 01:00:00,2011-12-13 02:00:00,39.62117699,-119.7249484
Holiday Music with Vocal Motion, Spanish Springs Library,2011-12-13 06:00:00,2011-12-13 07:00:00,39.62117699,-119.7249484
Wee Read Storytime, Spanish Springs Library,2011-12-15 10:00:00,2011-12-15 11:00:00,39.62117699,-119.7249484
District Board of Health Meeting," Washoe County Health District, Auditorium B, 1001 E. 9th Street; Reno, Nevada",2011-12-15 01:00:00,2011-12-15 02:00:00,39.53943734,-119.8002326
Bridge Group, South Valleys Library,2011-12-16 01:00:00,2011-12-16 02:00:00,39.404466,-119.759088
Bilingual Storytime, Sparks Library,2011-12-17 01:00:00,2011-12-17 02:00:00,39.544131,-119.758756
Clickets Knitting Group, Spanish Springs Library,2011-12-18 01:00:00,2011-12-18 02:00:00,39.62117699,-119.7249484
Mystery Book Club: Tea Time for the Traditionally Built, Spanish Springs Library,2011-12-18 01:00:00,2011-12-18 02:00:00,39.62117699,-119.7249484
Family Storytime, Spanish Springs Library,2011-12-19 10:00:00,2011-12-19 11:00:00,39.62117699,-119.7249484
Movie Matinee: The Smurfs, Spanish Springs Library,2011-12-20 04:00:00,2011-12-20 05:00:00,39.62117699,-119.7249484
Crochet Connection, Spanish Springs Library,2011-12-22 04:00:00,2011-12-22 05:00:00,39.62117699,-119.7249484
Wee Read Storytime, Spanish Springs Library,2011-12-22 10:00:00,2011-12-22 11:00:00,39.62117699,-119.7249484
Princess Storytime, Sparks Library,2011-12-24 11:00:00,2011-12-24 12:00:00,39.544131,-119.758756
Family Storytime, Spanish Springs Library,2011-12-26 10:00:00,2011-12-26 11:00:00,39.62117699,-119.7249484
Board of County Commissioners Meetings, Washoe County Commission Chambers,2011-12-27 10:00:00,2011-12-27 11:00:00,39.5394208,-119.8009622
Lifescapes, Sparks Library,2011-12-27 02:00:00,2011-12-27 03:00:00,39.544131,-119.758756
Wee Read Storytime, Spanish Springs Library,2011-12-29 10:00:00,2011-12-29 11:00:00,39.62117699,-119.7249484
Video Game Night, Sparks Library,2011-12-30 10:00:00,2011-12-30 11:00:00,39.544131,-119.758756
Four Seasons Book Club, Sparks Library,2012-01-07 01:00:00,2012-01-07 02:00:00,39.544131,-119.758756
